average_month,lat,lon,number,average_ind_50_100,,,
Arctic,80.432,-12.076,1,10.43568,Kohfeld et at 1996,,
Arcitc,77.4225,-1.248791667,2,61.04166667,Stangeew,,
BIOTRANS_57,57,-20,3,,,,
Labrador,56.59,-49.10166667,4,6.9,Stangeew,,
Atlantic_current,49.27,-44.03,5,3.84,Stangeew,,
BIOTRANS,47,-20,6,,,,
Japan,41.09,143.23,7,3.405,Kuroyanagi_Kawahata 2004,,
California,41.97225,-127.8205,8,8.5625,"Ortiz, Mix and Collier, 1995",,
Canary,33.109231,-21.278328,9,,,,
Japan,32.1,133.53,10,3.405,Kuroyanagi_Kawahata 2004,,
Caribbean,17.38,-79.09,11,,Schmutek& Schiebel,,
Caribbean,12.01,-64.29,,,Bahr et al,,
Caribbean,17.23,-65.04,,,Schmutek& Schiebel,,
Arabian Sea,15.92333333,60.13333333,12,,Schiebel,,
Antarctica,-70.31777778,-175.8622222,13,332.1666667,Bergami et al 2009,,
Azores,27.5,-31,14,24.1775,"Schiebel et al., 2002 JOURNAL OF MARINE SYSTEMS",,
Africa,-6.2,8.7,15,36.5,Ukfes,,
Panama,5,-82,16,2.745,0-100,"Be et al., 1985",Aug
Brazil ,-23.36,-41.47,17,,Sousa,,
Brazil ,-34.37,-43.45,18,,Sousa,,
NE Atlantic,31,-22,,,Rebotim,,
NE Atlantic,34.03,-22,,,Rebotim,,
NE Atlantic,35.05,-12.69,,,Rebotim,,
NE Atlantic,38.236,-8.94,,,Rebotim,,
NE Atlantic,34.26653,-15.21592583,,,Rebotim,,
NE Atlantic,29.22222333,-15.5,,,Rebotim,,
NE Atlantic,28.83333,-13.16667,,,Rebotim,,
NE Atlantic,29.41667,-16.666665,,,Rebotim,,
NE Atlantic,29.22222333,-15.5,,,Rebotim,,
NE Atlantic,29.125,-14.9166675,,,Rebotim,,
NE Atlantic,34.20867442,-30.42302326,,,Rebotim,,
NE Atlantic,33.896,-27.297,,,Rebotim,,
