DAILY,MONTHLY,DAILY (gC),MONTH,DAILY(mgC)
322.018,9660.54,270,S,0.27
27.27129032,845.41,23,O,0.023
4.845,150.195,4.1,N,0.0041
1.017419355,31.54,0.86,D,0.00086
0.779032258,24.15,0.66,J,0.00066
0.588,16.464,0.5,F,0.0005
0.189677419,5.88,0.16,M,0.00016
0.84,25.2,0.71,A,0.00071
45.76032258,1418.57,39,MAY,0.039
72.61733333,2178.52,61,JUN,0.061
26.54645161,822.94,22,JUL,0.022
32.60354839,1010.71,28,AUG,0.028
28.54933333,856.48,24,S,0.024
11.77419355,365,9.9,O,0.0099
7.483333333,224.5,6.3,N,0.0063
2.564516129,79.5,2.2,D,0.0022
0.064516129,2,0.055,J,0.000055
0.214285714,6,0.18,F,0.00018
0.120967742,3.75,0.1,M,0.0001
44.51666667,1335.5,38,A,0.038
283.3870968,8785,240,MAY,0.24
134.4333333,4033,110,JUN,0.11
56.51612903,1752,48,JUL,0.048
167.4347826,3851,140,AUG,0.14
378.72,9468,320,S,0.32
125.5483871,3892,110,O,0.11
9.292666667,278.78,7.9,N,0.0079
1.068709677,33.13,0.9,D,0.0009
0.287096774,8.9,0.24,J,0.00024
0.055714286,1.56,0.047,F,0.000047
0.067096774,2.08,0.057,M,0.000057
2.133333333,64,1.8,A,0.0018
771.9964516,23931.89,650,MAY,0.65
1843,7372,1600,JUN,1.6
