DAILY,MONTHLY,DAILY (gC),month,DAILY(mgC),units: ind/m**2/day
4.7,37.6,4.00E+00,S,4.00E-03,gCm-2md-1
111.8741935,3468.1,9.50E+01,O,9.50E-02,
99.22,2976.6,8.40E+01,N,8.40E-02,
95.33225806,2955.3,8.10E+01,D,8.10E-02,
851.5706452,26398.69,7.20E+02,J,7.20E-01,
748.4714286,15717.9,6.30E+02,F,6.30E-01,
791.5,11872.5,6.70E+02,M,6.70E-01,
538.17,16145.1,4.50E+02,A,4.50E-01,
699.6387097,21688.8,5.90E+02,MAY,5.90E-01,
235.3716667,7061.15,2.00E+02,JUN,2.00E-01,
56.59193548,1754.35,4.80E+01,JUL,4.80E-02,
14.75806452,457.5,1.20E+01,AUG,1.20E-02,
8.75,262.5,7.40E+00,S,7.40E-03,
28.05483871,869.7,2.40E+01,O,2.40E-02,
85.62666667,2568.8,7.20E+01,N,7.20E-02,
9.735483871,301.8,8.20E+00,D,8.20E-03,
53.97241379,1565.2,4.60E+01,J,4.60E-02,
