DAILY,MONTHLY,DAILY (gC),month,DAILY(mgC),units: ind/m**2/day
1214.606452,37652.8,1026.342452,D,1.026342452,gCm-2md-1
1232.135484,38196.2,1041.154484,J,1.041154484,
1121.814286,31410.8,947.9330717,F,0.947933072,
2254.519737,68537.4,1905.069178,M,1.905069178,
7202.92,216087.6,6086.4674,A,6.0864674,
4373.296053,132948.2,3695.435165,MAY,3.695435165,
569,6259,480.805,JUL,0.480805,
883.1290323,27377,746.2440323,AUG,0.746244032,
4010.9,12032.7,3389.2105,S,3.3892105,
2338.935484,72507,1976.400484,O,1.976400484,
2767.966667,83039,2338.931834,N,2.338931834,
