year,sNH,sSO,mid_NP,mid_SP,mid_NA,mid_SA,lowLat_NP,lowLat_SP,lowLat_NA,lowLat_SA,IO,sNA,Global
1776,0.007897616,-0.043555002,-0.055068796,-0.042174307,-0.035193345,-0.026616213,-0.090234234,-0.145479333,-0.077041219,-0.094059959,-0.030922686,0.072199011,-0.036858671
1796,-0.11609819,0.043296449,-0.347577892,-0.261626773,-0.28995954,-0.191552253,-0.593082042,-1.026471486,-0.680377997,-0.648446668,-0.208744477,0.34475869,-0.196444838
1816,-0.390649227,-1.012332974,-0.623594118,-0.437681244,-0.487902778,-0.307766512,-1.221976739,-2.137653051,-1.522983375,-1.257574418,-0.307052414,0.482290571,-0.555683272
1836,-0.499180813,-2.949835856,-0.677693989,-0.501259846,-0.564527947,-0.367393806,-1.613660395,-2.929009705,-2.04681002,-1.58999607,-0.360180765,0.467387898,-0.999526654
1856,-0.470077441,-5.009179139,-0.67794526,-0.549741648,-0.652234534,-0.409299453,-1.872994943,-3.48042471,-2.177503066,-1.737520142,-0.40783795,0.492253189,-1.441451789
1876,-0.550405897,-5.234027896,-0.921004806,-0.731567589,-0.906788134,-0.52887059,-2.446271034,-4.53780851,-2.716772632,-2.289157575,-0.55767079,0.65665595,-1.638038891
1896,-0.687064951,-7.496461803,-1.480571238,-1.164978614,-1.435715729,-0.684563221,-3.561584297,-6.560951151,-4.017799845,-3.395460525,-0.85640347,1.018440004,-2.391435977
1916,-0.939269996,-3.754401135,-2.03786855,-1.585098647,-1.982571712,-1.014364492,-4.924300092,-9.099477899,-5.658928397,-4.751079472,-1.206133549,1.135373678,-2.022010536
1936,-1.224819228,-3.913007185,-2.760185503,-2.295222159,-2.698933128,-1.428155052,-6.574758328,-12.34115031,-7.582992128,-6.602753197,-1.589048655,1.478580799,-2.525297392
1956,-1.869953284,-3.396211398,-3.129030567,-2.73958822,-3.178444663,-1.647232181,-8.039722765,-15.24307207,-9.357894239,-8.124234748,-1.84241549,1.918827726,-2.760155165
1976,-1.360679281,-3.370305328,-4.268988354,-3.685851588,-4.361788681,-2.305445037,-10.12367283,-19.70933395,-11.70658753,-10.60973917,-2.491649696,4.066251418,-3.411709499
1986,-1.266241122,-2.00169919,-5.349549861,-4.713612856,-5.276983454,-2.717544834,-11.73839754,-23.05368962,-13.65127384,-12.78485763,-3.197192356,5.181195562,-3.768509378
1990,-1.505319846,-0.354621734,-5.856832976,-5.200169913,-5.778792769,-2.998320837,-12.54538132,-24.63774011,-14.58872534,-13.85286889,-3.396590626,5.614269731,-3.748742098
1994,-1.638164211,-9.232253752,-6.324349276,-5.849199087,-6.269900181,-3.347263882,-13.28864911,-26.2091952,-15.54324523,-14.95474694,-3.648288599,5.925396901,-5.820942837
1998,-1.828726641,-7.313581646,-6.758540493,-6.27983256,-6.737974621,-3.621061283,-14.11048938,-27.7837654,-16.64613067,-16.09676861,-3.921628283,6.23970843,-5.744558254
2002,-1.884472229,-4.574182652,-7.301699904,-6.793164378,-7.314860859,-3.93477797,-15.02338862,-29.56792139,-17.8741687,-17.35947103,-4.236276822,6.61362528,-5.550539032
2006,-2.029768858,-3.275760851,-7.872687839,-7.25400887,-7.992552743,-4.198553757,-15.98133905,-31.41202755,-19.16701083,-18.72482429,-4.498842029,6.98989774,-5.634669967
2010,-2.220559387,-1.744266073,-8.459291899,-7.763055413,-8.644899004,-4.636716162,-16.94184847,-33.35914998,-20.52441015,-20.1772534,-4.840500825,7.30376578,-5.725791526
2014,-2.46117033,3.23324161,-9.035613713,-8.294584556,-9.216532399,-4.844254513,-17.953624,-35.3834447,-21.93201113,-21.68671798,-5.156613409,7.701136662,-5.103660627
2018,-2.736940305,3.148424947,-9.692391464,-8.883256186,-9.933477438,-5.133045104,-19.01032206,-37.56043122,-23.44182736,-23.30225249,-5.547502849,8.314709218,-5.537658668
2022,-3.053648918,2.625032868,-10.40932854,-9.489998556,-10.76124625,-5.500918919,-20.1071332,-39.86799702,-25.00934034,-24.98550177,-5.990979129,8.363274137,-6.105427202
2026,-3.349245331,-5.775864077,-11.17148978,-10.05257889,-11.63355034,-5.906951304,-21.30105658,-42.37799605,-26.66952185,-26.8543074,-6.397734785,8.740146726,-8.219956307
