year,sNH,sSO,mid_NP,mid_SP,mid_NA,mid_SA,lowLat_NP,lowLat_SP,lowLat_NA,lowLat_SA,IO,sNA,Global
1776,0.01502366,-0.02952653,-0.050925402,-0.041782837,-0.039867352,-0.025389308,-0.109302895,-0.161060878,-0.097220681,-0.104561716,-0.040191774,0.080127384,-0.036348017
1796,-0.079972098,0.117141116,-0.331803351,-0.255485013,-0.293003349,-0.186045655,-0.675518963,-1.092532194,-0.726514685,-0.72118441,-0.219931404,0.385130107,-0.188272768
1816,-0.323477627,-0.788910834,-0.590396817,-0.418038096,-0.485293762,-0.291380495,-1.358771147,-2.251246825,-1.575954848,-1.400529204,-0.293170606,0.556725023,-0.491819508
1836,-0.416341927,-2.465218447,-0.624048939,-0.468797455,-0.553401848,-0.341885211,-1.770363831,-3.064602038,-2.089038071,-1.748484013,-0.339837503,0.564025065,-0.846711927
1856,-0.362761992,-4.234348446,-0.610529318,-0.507622256,-0.635351267,-0.372458694,-2.060057622,-3.649859092,-2.196628915,-1.89902991,-0.378787113,0.616763874,-1.19318153
1876,-0.394743088,-4.386065914,-0.836206674,-0.670809755,-0.88412512,-0.475022302,-2.704342881,-4.767750868,-2.760471187,-2.506805287,-0.507249238,0.83041382,-1.362553471
1896,-0.459022008,-6.261571133,-1.358832467,-1.082245186,-1.39685132,-0.595848221,-3.955491202,-6.903658188,-4.114458549,-3.737608753,-0.786988024,1.283256024,-1.995564464
1916,-0.6222026,-2.954541393,-1.871827061,-1.470450824,-1.927255757,-0.947010927,-5.468258337,-9.559304005,-5.767661785,-5.235033105,-1.114303659,1.531106079,-1.762328738
1936,-0.797849691,-2.932750142,-2.537157703,-2.162331849,-2.621455044,-1.319497512,-7.305454352,-12.94005142,-7.729056044,-7.249729093,-1.459738099,2.020585658,-2.212380231
1956,-1.328250393,-2.419941913,-2.839996066,-2.569133743,-3.074637265,-1.489426236,-8.896394432,-15.93965277,-9.481522459,-8.88200245,-1.67028329,2.575562441,-2.424600375
1976,-0.584388638,-2.225524614,-3.921445576,-3.474679041,-4.233954416,-2.085302588,-11.30416672,-20.62173854,-11.89060719,-11.58569823,-2.293220895,4.992665581,-3.029605632
1986,-0.25891694,-0.900089575,-4.943311107,-4.494213383,-5.113024539,-2.444647314,-13.18379246,-24.12522876,-13.90204213,-13.95868948,-2.962512606,6.327755043,-3.398947922
1990,-0.477161824,0.585590384,-5.425922176,-4.977096591,-5.614707945,-2.713668615,-14.12024329,-25.7808816,-14.90027306,-15.11931676,-3.143887761,6.867660566,-3.436912451
1994,-0.540677131,-7.146853164,-5.858947178,-5.61372229,-6.098321471,-3.040311884,-14.97002967,-27.41245641,-15.87493577,-16.30422817,-3.367119838,7.274750087,-5.137020063
1998,-0.67637432,-5.368264256,-6.264001387,-6.019245073,-6.559382421,-3.290589582,-15.91418519,-29.04751351,-16.98328816,-17.53967948,-3.610950178,7.683073164,-5.108209628
2002,-0.631747059,-2.894611653,-6.781998021,-6.510440336,-7.129287247,-3.58495851,-16.96539516,-30.89968837,-18.25653821,-18.89947267,-3.913120439,8.145068055,-5.003871677
2006,-0.710860361,-1.693083929,-7.324327679,-6.937848401,-7.817253476,-3.817256703,-18.07324475,-32.80922977,-19.56481614,-20.36815286,-4.150298001,8.617863085,-5.120300175
2010,-0.838478757,-0.234519093,-7.879582542,-7.420851151,-8.454993885,-4.238535896,-19.18345263,-34.82128747,-20.94460109,-21.92419041,-4.474341703,9.044159633,-5.245405484
2014,-1.023142768,4.136843245,-8.389192847,-7.909171966,-8.981038203,-4.384516218,-20.31424285,-36.85873701,-22.34394819,-23.4863069,-4.741452691,9.509494146,-4.788039624
2018,-1.225475938,4.134204195,-8.914911452,-8.410044709,-9.596835426,-4.59630529,-21.43119952,-38.94000873,-23.7676189,-25.0980927,-5.053252608,10.20816917,-5.144969806
2022,-1.41233685,4.738755845,-9.430588171,-8.900801529,-10.28360403,-4.852284475,-22.52323081,-41.01349278,-25.22532912,-26.6541559,-5.36472676,10.58896153,-5.403513582
2026,-1.817888689,-1.399861127,-9.927098139,-9.379672428,-10.98411549,-5.032186779,-23.62140113,-43.13236867,-26.67733705,-28.25519129,-5.641220635,10.56288062,-6.857293256
2030,-2.090209519,-4.116516097,-10.42636498,-9.825362749,-11.67636273,-5.49945638,-24.73416288,-45.27593863,-28.15963485,-29.98290165,-5.930325143,10.88693607,-7.732256806
2034,-2.504818246,-2.19350478,-10.88477409,-10.3092012,-12.39244886,-5.806362974,-25.83706056,-47.38386306,-29.6851599,-31.77528433,-6.168809857,11.2816808,-7.760723961
2038,-2.649738338,-1.113135183,-11.41388105,-10.89289944,-13.20471989,-6.005290606,-26.96625279,-49.5030184,-31.20569388,-33.53988506,-6.625029816,11.6345368,-7.990760211
2042,-2.90456178,5.852488284,-11.91528817,-11.49165329,-14.03004439,-6.264524927,-28.13870071,-51.64428662,-32.63963926,-35.23810485,-6.952579636,11.988058,-7.157280764
2046,-3.374078559,8.717815117,-12.41669842,-12.09430978,-14.97076509,-6.491250644,-29.36538158,-53.85416075,-33.97512964,-36.91485952,-7.357256619,12.09393163,-7.095989646
2050,-3.943591198,8.685618891,-13.00052231,-12.66008375,-15.97055096,-6.723885206,-30.62852155,-56.06827315,-35.15800579,-38.56963696,-7.689075725,11.79650624,-7.550626308
2054,-4.372558935,6.826486578,-13.63014466,-13.16944587,-16.97273526,-6.941095357,-31.90118812,-58.25185361,-36.20911564,-40.18130533,-8.054055697,11.96254483,-8.323833123
2058,-5.364340393,3.02085935,-14.19530269,-13.77467746,-18.05056556,-7.200057755,-33.19619883,-60.43090101,-37.16565134,-41.83203673,-8.364639715,12.4529539,-9.488053629
2062,-5.35902506,3.410229669,-14.86691652,-14.45762598,-19.16528548,-7.53038305,-34.52100331,-62.62696155,-38.12723551,-43.5668155,-8.686984624,14.2738693,-9.880721511
2066,-5.811704829,7.220050355,-15.52948358,-15.18700992,-20.23482949,-7.874901518,-35.86523169,-64.86895178,-39.01984321,-45.33940738,-9.164349699,14.7788266,-9.733516932
2070,-6.036369474,10.63839826,-16.15189228,-15.86659907,-21.40877734,-8.125560656,-37.22402949,-67.06693901,-39.95832087,-47.10832516,-9.609437685,15.19351812,-9.622181017
