year,sNH,sSO,mid_NP,mid_SP,mid_NA,mid_SA,lowLat_NP,lowLat_SP,lowLat_NA,lowLat_SA,IO,sNA,Global
1776,0.01502366,-0.02952653,-0.050925402,-0.041782837,-0.039867352,-0.025389308,-0.109302895,-0.161060878,-0.097220681,-0.104561716,-0.040191774,0.080127384,-0.036348017
1796,-0.079972098,0.117141116,-0.331803351,-0.255485013,-0.293003349,-0.186045655,-0.675518963,-1.092532194,-0.726514685,-0.72118441,-0.219931404,0.385130107,-0.188272768
1816,-0.323477627,-0.788910834,-0.590396817,-0.418038096,-0.485293762,-0.291380495,-1.358771147,-2.251246825,-1.575954848,-1.400529204,-0.293170606,0.556725023,-0.491819508
1836,-0.416341927,-2.465218447,-0.624048939,-0.468797455,-0.553401848,-0.341885211,-1.770363831,-3.064602038,-2.089038071,-1.748484013,-0.339837503,0.564025065,-0.846711927
1856,-0.362761992,-4.234348446,-0.610529318,-0.507622256,-0.635351267,-0.372458694,-2.060057622,-3.649859092,-2.196628915,-1.89902991,-0.378787113,0.616763874,-1.19318153
1876,-0.394743088,-4.386065914,-0.836206674,-0.670809755,-0.88412512,-0.475022302,-2.704342881,-4.767750868,-2.760471187,-2.506805287,-0.507249238,0.83041382,-1.362553471
1896,-0.459022008,-6.261571133,-1.358832467,-1.082245186,-1.39685132,-0.595848221,-3.955491202,-6.903658188,-4.114458549,-3.737608753,-0.786988024,1.283256024,-1.995564464
1916,-0.6222026,-2.954541393,-1.871827061,-1.470450824,-1.927255757,-0.947010927,-5.468258337,-9.559304005,-5.767661785,-5.235033105,-1.114303659,1.531106079,-1.762328738
1936,-0.797849691,-2.932750142,-2.537157703,-2.162331849,-2.621455044,-1.319497512,-7.305454352,-12.94005142,-7.729056044,-7.249729093,-1.459738099,2.020585658,-2.212380231
1956,-1.328250393,-2.419941913,-2.839996066,-2.569133743,-3.074637265,-1.489426236,-8.896394432,-15.93965277,-9.481522459,-8.88200245,-1.67028329,2.575562441,-2.424600375
1976,-0.584388638,-2.225524614,-3.921445576,-3.474679041,-4.233954416,-2.085302588,-11.30416672,-20.62173854,-11.89060719,-11.58569823,-2.293220895,4.992665581,-3.029605632
1986,-0.25891694,-0.900089575,-4.943311107,-4.494213383,-5.113024539,-2.444647314,-13.18379246,-24.12522876,-13.90204213,-13.95868948,-2.962512606,6.327755043,-3.398947922
1990,-0.477161824,0.585590384,-5.425922176,-4.977096591,-5.614707945,-2.713668615,-14.12024329,-25.7808816,-14.90027306,-15.11931676,-3.143887761,6.867660566,-3.436912451
1994,-0.540677131,-7.146853164,-5.858947178,-5.61372229,-6.098321471,-3.040311884,-14.97002967,-27.41245641,-15.87493577,-16.30422817,-3.367119838,7.274750087,-5.137020063
1998,-0.67637432,-5.368264256,-6.264001387,-6.019245073,-6.559382421,-3.290589582,-15.91418519,-29.04751351,-16.98328816,-17.53967948,-3.610950178,7.683073164,-5.108209628
2002,-0.631747059,-2.894611653,-6.781998021,-6.510440336,-7.129287247,-3.58495851,-16.96539516,-30.89968837,-18.25653821,-18.89947267,-3.913120439,8.145068055,-5.003871677
2006,-0.710860361,-1.693083929,-7.324327679,-6.937848401,-7.817253476,-3.817256703,-18.07324475,-32.80922977,-19.56481614,-20.36815286,-4.150298001,8.617863085,-5.120300175
2010,-0.837941085,-0.234364457,-7.879708958,-7.420939791,-8.456151333,-4.2386387,-19.18600734,-34.82206999,-20.95358252,-21.92126667,-4.462554534,9.045416702,-5.242706634
2014,-1.009563378,4.136888991,-8.418248868,-7.924139309,-8.997963536,-4.394001832,-20.36519953,-36.91078498,-22.34826817,-23.53235321,-4.762557077,9.551417541,-4.801847808
2018,-1.196994507,4.189968903,-9.039360351,-8.485797386,-9.686899004,-4.644510665,-21.60145737,-39.15306083,-23.88048124,-25.25655962,-5.116854863,10.30166052,-5.193500005
2022,-1.443649226,3.786929837,-9.721304787,-9.063162258,-10.50458546,-4.971510654,-22.88829401,-41.52226395,-25.44328953,-27.04564469,-5.534260042,10.4182529,-5.721048058
2026,-1.610122472,-3.489367633,-10.44891376,-9.582738797,-11.36714337,-5.329441022,-24.28835832,-44.09143881,-27.14510052,-29.02502706,-5.901303609,10.96759548,-7.467034219
2030,-1.841211731,-1.978234333,-11.25334801,-10.41145038,-12.37206874,-5.815846647,-25.81072926,-46.80452298,-28.85385536,-31.18429934,-6.495433461,11.7186348,-7.794045294
2034,-2.337308405,1.575262508,-12.19384306,-11.15666932,-13.42070668,-6.134304617,-27.41330135,-49.57720079,-30.72882773,-33.56383148,-6.974349171,12.62677707,-7.736737543
2038,-2.631619787,6.403282367,-13.08262301,-11.93168326,-14.49134449,-6.654684409,-29.06069992,-52.41103618,-32.65799027,-36.01025759,-7.445683592,13.28432655,-7.468118338
2042,-3.020341576,7.259200158,-13.93743913,-12.84340959,-15.73301337,-6.997150316,-30.7587507,-55.32903452,-34.45267008,-38.40838208,-7.983462135,13.8699111,-7.939041878
2046,-3.52409229,4.26960131,-14.88403039,-13.79848775,-17.05491409,-7.314382072,-32.49855375,-58.28363061,-36.14360239,-40.81202199,-8.579049444,13.81839087,-9.137472889
2050,-4.04777518,2.581431796,-15.96259854,-14.73723588,-18.31701186,-7.627556744,-34.31399295,-61.20386278,-37.68859741,-43.26812815,-9.193029926,15.58525131,-10.1146791
2054,-4.78310381,7.916818141,-17.08277812,-15.52160706,-19.68028722,-8.114012817,-36.2235333,-64.17272995,-39.18241246,-45.86422205,-9.756694259,16.55364848,-9.864760268
2058,-5.40735114,11.1720664,-18.27965159,-16.53335235,-21.07774107,-8.758153344,-38.20757929,-67.18429193,-40.59294959,-48.50616379,-10.40647019,17.37685219,-10.06360213
2062,-5.906625439,10.73134531,-19.49325534,-17.7523091,-22.5835084,-9.361111272,-40.19627743,-70.231185,-42.01280328,-51.10395716,-11.02152313,18.33165171,-10.94016798
2066,-6.287333114,10.81672802,-21.28250874,-19.30190463,-24.29983129,-10.00336921,-42.16192316,-73.34588629,-43.43879859,-53.70543368,-11.62395143,19.15131734,-11.84555857
2070,-7.294302538,15.56078908,-22.85642302,-20.44537757,-26.06650361,-10.61190837,-44.11819486,-76.36210769,-44.85342764,-56.29401496,-12.4354526,20.23883761,-11.93571416
