Month,ind_California,ind_Caribbean_Schiebel,ind_Brazil23,ind_Brazil34,ind_Japan_net,ind_Biotrans47,ind_Azores_tows,ind_NE_Atlantic,ind_SE_Atlantic,ind_Labrador_Sea,ind_Atlantic_current,ind_Panama,ind_Arabian,ind_Biotrans57
J,0.92,4.5,14.1,21.8,13.26,9.26,1.02,4.16,25.76,7.16,18.45,14.54,5.08,5.69
F,0.79,7.23,10.15,12.33,14.19,5.9,1.57,4.28,25.92,2.79,25.25,15.59,13.77,1.98
M,1.13,6.04,7.65,7.44,19.8,7.56,4.28,6.87,26.02,3.23,33.92,14.75,42.64,0.69
A,3.08,3.77,6.66,5.6,51.98,26.11,16.08,25.34,25.73,13.31,85.87,13.94,43.74,1.1
MAY,7.78,2.47,8.2,5.45,91.24,96.7,28.25,52.07,26.55,56.33,195.17,13.36,18.68,15.33
JUN,13.15,1.67,13.52,6.71,95.88,165.92,18.44,54.31,30.45,129.76,207.36,13.24,9.52,59.23
JUL,11.47,1.16,25.6,7.77,74.3,189.11,9.48,37.78,36.79,177.8,185.67,13.58,5.37,121.78
AUG,6.88,0.82,48.87,10.57,49.49,178.21,4.74,22.85,37.3,167.68,159.47,13.96,3.15,147.01
S,3.83,0.6,65.66,22.98,33.73,130.97,2.38,13.61,32.73,138.51,126.02,14.08,1.92,120.73
O,2.39,0.64,50.34,70.26,28.11,85.28,1.34,9.92,28.73,94.82,90.24,13.8,1.32,78.7
N,1.75,1,30.9,83.45,21.11,44.15,1.03,7.68,26.36,47.3,50,12.93,1.34,38.25
D,1.15,2.08,20.3,41.12,16.09,21.23,0.94,5.49,25.72,19.18,27.69,13.07,2.19,15.68
