Month,ind_California,ind_Caribbean_Schiebel,ind_Brazil23,ind_Brazil34,ind_Japan_net,ind_Biotrans47,ind_Azores_tows,ind_NE_Atlantic,ind_SE_Atlantic,ind_Labrador_Sea,ind_Atlantic_current,ind_Panama,ind_Arabian,ind_Biotrans57
J,9.03468E-05,0.000444072,0.001389979,0.002149115,0.001307798,0.000912903,0.000100386,0.000409899,0.002539828,0.000706079,0.001819488,0.001433569,0.000500671,0.000560983
F,7.7563E-05,0.000712812,0.001000637,0.001215262,0.001399403,0.000581634,0.000154451,0.000422002,0.0025556,0.000274698,0.002489531,0.001537205,0.001358062,0.000195596
M,0.000111463,0.000595955,0.000754116,0.000733767,0.00195261,0.00074522,0.00042231,0.000677537,0.002565306,0.000318245,0.003344729,0.001453929,0.004204128,6.76787E-05
A,0.000303342,0.000372172,0.00065632,0.000552323,0.005125156,0.002574423,0.001585112,0.002498495,0.002537045,0.001312147,0.008466675,0.001374019,0.004312077,0.000108376
MAY,0.000767028,0.000243144,0.00080819,0.000537378,0.008995649,0.009533642,0.002785097,0.005133962,0.002618023,0.005553557,0.019242845,0.00131693,0.001842206,0.001511606
JUN,0.001296161,0.000164991,0.001333379,0.000661818,0.009452969,0.016358892,0.001817602,0.00535486,0.003002287,0.012794002,0.020444628,0.001305694,0.00093894,0.005839669
JUL,0.001130789,0.000114729,0.002523851,0.000766249,0.007325133,0.018644786,0.00093425,0.00372478,0.003627551,0.017529583,0.018305471,0.00133887,0.000529567,0.012007244
AUG,0.000677986,8.09385E-05,0.004817999,0.00104238,0.004879702,0.017570315,0.00046688,0.002252834,0.003677348,0.016532465,0.015722526,0.001376516,0.000310665,0.014494231
S,0.000377693,5.96095E-05,0.006473814,0.002265736,0.003325251,0.012913105,0.000234704,0.001342285,0.003226704,0.013655934,0.012424684,0.00138849,0.000188826,0.01190326
O,0.000235299,6.29071E-05,0.00496362,0.006926809,0.00277157,0.008407936,0.000132494,0.000977892,0.002832369,0.009348706,0.008897566,0.001360342,0.000129908,0.007759555
N,0.000172659,9.82707E-05,0.003046883,0.008227591,0.002081329,0.00435252,0.000101106,0.000756749,0.002598798,0.004663917,0.00492947,0.001274906,0.000131816,0.003770932
D,0.000113629,0.000204901,0.002001821,0.004054079,0.001586158,0.002093208,9.26542E-05,0.000541066,0.002535625,0.001891051,0.002729592,0.001288375,0.000215822,0.001545841
