DAILY,MONTHLY,DAILY (gC),month,DAILY(mgC),units: ind/m**2/day
6.4,25.6,5.40E+00,F,5.40E-03,gCm-2md-1
31.11333333,933.4,2.60E+01,M,2.60E-02,
46.12333333,1383.7,3.90E+01,A,3.90E-02,
8.819354839,273.4,7.50E+00,MAY,7.50E-03,
4.616666667,138.5,3.90E+00,JUN,3.90E-03,
3,90,2.50E+00,JUL,2.50E-03,
2.606451613,80.8,2.20E+00,AUG,2.20E-03,
2.2,66,1.90E+00,S,1.90E-03,
0.503225806,15.6,4.30E-01,O,4.30E-04,
8.046666667,241.4,6.80E+00,N,6.80E-03,
1.580645161,49,1.30E+00,D,1.30E-03,
0.635483871,19.7,5.40E-01,J,5.40E-04,
1.328571429,37.2,1.10E+00,F,1.10E-03,
3.85483871,119.5,3.30E+00,M,3.30E-03,
9.306666667,279.2,7.90E+00,A,7.90E-03,
3.5,66.5,3.00E+00,MAY,3.00E-03,
