DAILY,monthly,DAILY (gC),month,DAILY(mgC),units: ind/m**2/day
1042.367742,32313.4,8.80E+02,D,8.80E-01,gCm-2md-1
810.6258065,25129.4,6.80E+02,J,6.80E-01,
499.8,13994.4,4.20E+02,F,4.20E-01,
855.3026316,26001.2,7.20E+02,M,7.20E-01,
2028.773333,60863.2,1.70E+03,A,1.70E+00,
1544.578947,46955.2,1.30E+03,MAY,1.30E+00,
1216,12160,1.00E+03,JUN,1.00E+00,
1484,16324,1.30E+03,JUL,1.30E+00,
1083.16129,33578,9.20E+02,AUG,9.20E-01,
640.3,1920.9,5.40E+02,S,5.40E-01,
906.9032258,28114,7.70E+02,O,7.70E-01,
1954.266667,58628,1.70E+03,N,1.70E+00,
