Month,NA,Subantractica,Japan_Subtropic_trap,Japan_Temperate_trap,SO_1,SO_2,Azores_trap,Sargasso_trap,Papa_trap,Azores_tows,Arabian_trap,Cape_Blanc
J,6.00E-03,6.50E-01,3.40E-02,4.40E-02,2.40E-01,2.30E-01,1.60E-10,2.20E-02,4.70E-03,3.50E-03,0.081654774,1.69906E-10
F,2.00E-03,4.70E-01,4.10E-02,5.20E-02,2.50E-01,2.40E-01,3.50E-10,3.10E-02,4.80E-03,6.00E-03,0.115609926,2.81028E-10
M,7.00E-04,3.00E-01,8.40E-02,7.40E-02,1.80E-01,1.70E-01,9.40E-10,5.50E-02,7.90E-03,2.20E-02,0.072937562,3.69429E-10
A,3.40E-04,1.90E-01,2.40E-01,2.80E-01,8.00E-02,7.10E-02,6.90E-10,2.30E-01,2.20E-02,9.00E-02,0.041781895,2.18176E-10
MAY,1.80E-02,9.20E-02,4.50E-01,5.90E-01,2.80E-02,2.90E-02,2.80E-10,4.10E-01,5.30E-02,1.30E-01,0.027943697,1.02511E-10
JUN,6.00E-02,5.50E-02,4.70E-01,7.10E-01,1.10E-02,1.50E-02,1.30E-10,3.00E-01,9.30E-02,5.50E-02,0.020985917,5.74909E-11
JUL,1.60E-01,3.70E-02,3.90E-01,6.10E-01,1.10E-02,1.60E-02,7.70E-11,9.30E-02,8.90E-02,2.40E-02,0.017179482,3.79745E-11
AUG,2.50E-01,4.10E-02,2.60E-01,3.70E-01,3.30E-02,2.90E-02,5.20E-11,3.60E-02,5.30E-02,1.10E-02,0.015266404,2.8051E-11
S,2.50E-01,7.60E-02,1.70E-01,2.00E-01,4.20E-02,4.00E-02,4.00E-11,2.80E-02,3.10E-02,5.70E-03,0.015070257,2.46339E-11
O,1.60E-01,2.70E-01,1.00E-01,1.50E-01,5.00E-02,6.80E-02,4.30E-11,2.60E-02,2.00E-02,3.80E-03,0.015619261,2.95792E-11
N,5.40E-02,5.80E-01,6.40E-02,9.70E-02,1.10E-01,1.10E-01,6.50E-11,2.50E-02,1.30E-02,3.30E-03,0.021776958,4.67239E-11
D,1.80E-02,7.50E-01,3.40E-02,6.30E-02,1.70E-01,1.70E-01,1.00E-10,2.20E-02,6.40E-03,2.90E-03,0.041064332,8.73346E-11
