loc_name,loc,to,Fe_RCP6_2050,Fe_RCP6_2100,Fe_RCP8p5_2050,Fe_RCP8p5_2100,PO4_RCP6_2050,PO4_RCP6_2100,PO4_RCP8p5_2050,PO4_RCP8p5_2100,picophyto1_RCP6_2050,picophyto1_RCP6_2100,picophyto1_RCP8p5_2050,picophyto1_RCP8p5_2100,picophyto_RCP6_2050,picophyto_RCP6_2100,picophyto_RCP8p5_2050,picophyto_RCP8p5_2100,nanophyto_RCP6_2050,nanophyto_RCP6_2100,nanophyto_RCP8p5_2050,nanophyto_RCP8p5_2100,microphyto_RCP6_2050,microphyto_RCP6_2100,microphyto_RCP8p5_2050,microphyto_RCP8p5_2100,totalphyto_RCP6_2050,totalphyto_RCP6_2100,totalphyto_RCP8p5_2050,totalphyto_RCP8p5_2100,nanozoo_RCP6_2050,nanozoo_RCP6_2100,nanozoo_RCP8p5_2050,nanozoo_RCP8p5_2100,microzoo_RCP6_2050,microzoo_RCP6_2100,microzoo_RCP8p5_2050,microzoo_RCP8p5_2100,mesozoo_RCP6_2050,mesozoo_RCP6_2100,mesozoo_RCP8p5_2050,mesozoo_RCP8p5_2100,totalzoo_RCP6_2050,totalzoo_RCP6_2100,totalzoo_RCP8p5_2050,totalzoo_RCP8p5_2100,foram_RCP6_2050,foram_RCP6_2100,foram_RCP8p5_2050,foram_RCP8p5_2100,total_RCP6_2050,total_RCP6_2100,total_RCP8p5_2050,total_RCP8p5_2100,190umzoo_RCP6_2050,190umzoo_RCP6_2100,190umzoo_RCP8p5_2050,190umzoo_RCP8p5_2100
1.Global,1,1,2,4,2,5,-9,-15,-10,-20,5,8,5,11,-1,-3,-2,-4,-6,-10,-7,-15,-4,-9,-6,-12,-4,-8,-5,-11,-4,-6,-4,-8,-4,-8,-6,-10,-6,-11,-7,-15,-4,-8,-4,-9,-8,-14,-11,-18,-4,-8,-5,-11,-5,-9,-7,-12
2. pSOcean,2,1,-2,-4,-2,-5,-2,-5,-3,-7,16,12,9,29,11,2,5,14,-2,3,-2,0,26,10,13,32,1,4,-1,3,4,2,7,0,13,0,4,13,27,9,12,38,8,2,8,0,61,24,22,51,3,3,1,4,25,-8,1,28
3. sSOcean,3,1,-4,-6,-4,-9,-7,-12,-7,-16,17,31,20,46,3,3,1,6,-3,-6,-2,-9,3,3,1,4,-1,-3,-1,-5,-3,-6,-2,-7,1,-1,-3,-1,20,34,23,42,2,1,2,2,8,14,0,21,0,-1,0,-2,3,2,-2,2
4. sArctic,4,1,-1,-1,-1,-1,-16,-28,-18,-35,27,49,32,65,4,7,5,9,-5,-11,-5,-15,-2,-5,-2,-8,-3,-7,-3,-10,-7,-9,-6,-9,-2,-5,-3,-6,4,5,6,3,-4,-6,-3,-6,-6,-14,-7,-21,-3,-6,-3,-8,-2,-4,-2,-5
5.sNatlantic,5,1,0,1,0,1,-13,-25,-14,-31,29,69,34,103,3,6,3,10,-3,-6,-3,-10,6,10,8,14,0,-1,0,-3,-8,-9,-1,-9,1,0,1,1,21,38,29,55,0,1,1,2,9,12,12,16,0,0,2,0,2,2,3,4
6. Temp.NPacific ,6,1,0,1,0,1,-13,-22,-16,-30,6,10,7,14,0,-1,0,-1,-7,-11,-8,-15,-8,-13,-10,-18,-5,-9,-6,-12,-4,-6,-4,-9,-5,-8,-6,-11,-7,-11,-9,-17,-5,-9,-5,-10,-14,-23,-17,-32,-5,-9,-6,-12,-5,-9,-6,-12
7. Temp.SPacific,7,1,-2,-3,-3,-4,-16,-28,-19,-37,6,10,7,13,0,-1,0,-1,-6,-11,-7,-15,-7,-12,-9,-17,-5,-9,-6,-11,-3,-6,-4,-8,-4,-8,-5,-10,-8,-15,-10,-20,-5,-9,-5,-10,-13,-24,-15,-31,-5,-9,-6,-12,-5,-8,-5,-11
8. Temp.NAtlantic,8,1,4,8,4,10,-20,-34,-22,-42,6,12,8,16,0,0,0,0,-7,-12,-8,-17,-11,-21,-13,-28,-6,-11,-7,-15,-3,-7,-4,-9,-5,-9,-5,-12,-11,-21,-12,-28,-6,-12,-6,-13,-16,-31,-19,-40,-6,-12,-7,-16,-5,-10,-6,-15
9. Temp. SAtlantic,9,1,-2,-3,-3,-5,-14,-24,-16,-32,7,12,8,16,0,0,0,-1,-5,-9,-6,-13,-5,-8,-6,-11,-4,-7,-4,-9,-3,-6,-3,-8,-4,-7,-5,-10,-3,-6,-3,-9,-4,-7,-4,-7,-8,-13,-9,-19,-4,-7,-4,-9,-4,-8,-5,-10
10. Subtr/T.NPacific ,10,1,5,9,5,11,-22,-35,-25,-43,3,5,4,7,-3,-5,-3,-7,-10,-17,-12,-22,-17,-28,-19,-35,-7,-12,-8,-15,-4,-7,-5,-9,-5,-9,-6,-12,-8,-14,-9,-18,-5,-9,-6,-10,-25,-40,-28,-49,-6,-10,-7,-13,-6,-10,-7,-13
