loc_name,loc,to,present_average,average_RCP6_2050,average_RCP6_2100,average_RCP8.5_2050,average_RCP8.5_2100,diff_average_RCP6_2050,diff_average_RCP6_2100,diff_average_RCP8.5_2050,diff_average_RCP8.5_2100
"""1.Global""",1,1,2.1,1.94,1.83,1.89,1.73,-8,-13,-10,-18
"""3. sSOcean""",3,1,4.64,5.04,5.37,4.73,5.71,9,16,2,23
"""4. sArctic""",4,1,4.67,4.49,4.19,4.48,3.91,-4,-10,-4,-16
"""5.sNatlantic""",5,1,7.28,8.17,8.56,8.43,9.02,12,18,16,24
"""6. Temp.NPacific """,6,1,3.47,3.02,2.71,2.91,2.39,-13,-22,-16,-31
"""7. Temp.Spacific""",7,1,3.68,3.22,2.86,3.14,2.58,-13,-22,-15,-30
"""8. Temp.NAtlantic""",8,1,6.26,5.27,4.32,5.12,3.75,-16,-31,-18,-40
"""9. Temp. SAtlantic""",9,1,5.8,5.41,5.14,5.36,4.81,-7,-11,-8,-17
"""10. Subtr/T.NPacific """,10,1,1.09,0.77,0.59,0.73,0.47,-29,-46,-33,-57
"""11. Subtr/T. SPacific""",11,1,0.08,0.04,0.01,0.03,0.01,-50,-88,-63,-88
"""12. Subtr/T. Natlantic""",12,1,0.08,0.05,0.04,0.04,0.03,-38,-50,-50,-63
"""13. Subtr/T. Satlantic""",13,1,0.53,0.32,0.21,0.3,0.14,-40,-60,-43,-74
"""14. Indian Ocean""",14,1,5.43,5,4.71,4.93,4.44,-8,-13,-9,-18
