loc_name,loc,to,foram_RCP6_2050,foram_RCP6_2100,foram_RCP8p5_2050,foram_RCP8p5_2100
1.Global,1,1,-8,-14,-11,-18
3. sSOcean,3,1,8,14,0,21
4. sArctic,4,1,-6,-14,-7,-21
5.sNatlantic,5,1,9,12,12,16
6. Temp.NPacific ,6,1,-14,-23,-17,-32
7. Temp.SPacific,7,1,-13,-24,-15,-31
8. Temp.NAtlantic,8,1,-16,-31,-19,-40
9. Temp. SAtlantic,9,1,-8,-13,-9,-19
10. Subtr/T.NPacific ,10,1,-25,-40,-28,-49
11. Subtr/T. SPacific,11,1,-54,-81,-59,-91
12. Subtr/T. NAtlantic,12,1,-40,-49,-42,-56
13. Subtr/T. SAtlantic,13,1,-36,-58,-41,-71
14. Indian Ocean,14,1,-8,-14,-10,-20
